ID,Nome,Endereço,Bairro,Seção,Divisão,Grupo,Classe,Subclasse,Preenchimento,Situação (Ativo/Vago)
,Centro comercial,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2805",PRESIDENTE KENNEDY,,,,,,Centro comercial,Ativo
,Patium Decor,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2845",PRESIDENTE KENNEDY,,,,,,Comércio varejista de móveis,Ativo
,Centro comercial,"AVENIDA SGT HERM├ìNIO SAMPAIO, 2847",PRESIDENTE KENNEDY,,,,,,Centro comercial,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 515",MONTE CASTELO,,,,,,Residência,Ativo
,,"AVENIDA SGT HERM├ìNIO SAMPAIO, 554",MONTE CASTELO,,,,,,,
,Mãos de Tesoura,"AVENIDA SGT HERM├ìNIO SAMPAIO, 637",MONTE CASTELO,,,,,,Cabeleireiros,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 643",MONTE CASTELO,,,,,,Residência,Ativo
,Lilian Cakes,"AVENIDA SGT HERM├ìNIO SAMPAIO, 645",MONTE CASTELO,,,,,,Serviços de alimentação para eventos e recepções - bufê,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 655",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 659",MONTE CASTELO,,,,,,Residência,Ativo
,Centro comercial,"AVENIDA SGT HERM├ìNIO SAMPAIO, 667",MONTE CASTELO,,,,,,Centro comercial,Vago
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 675",MONTE CASTELO,,,,,,Residência,Vago
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 677",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 683",MONTE CASTELO,,,,,,Residência,Ativo
,Isali Café e Douçura,"AVENIDA SGT HERM├ìNIO SAMPAIO, 691",MONTE CASTELO,,,,,,"Lanchonetes, casas de chá, de sucos e similares",Vago
